,Air Quality Index,Components,Time
31,{'aqi': 5},"{'co': 767.71, 'no': 104.61, 'no2': 78.14, 'o3': 0, 'so2': 415.8, 'pm2_5': 34.96, 'pm10': 37.59, 'nh3': 1.69}",1672621200
32,{'aqi': 4},"{'co': 700.95, 'no': 95.67, 'no2': 69.23, 'o3': 0, 'so2': 293.73, 'pm2_5': 50.12, 'pm10': 53.32, 'nh3': 1.88}",1672624800
33,{'aqi': 4},"{'co': 727.65, 'no': 101.92, 'no2': 67.86, 'o3': 0.01, 'so2': 263.21, 'pm2_5': 66.37, 'pm10': 70.52, 'nh3': 2.22}",1672628400
34,{'aqi': 4},"{'co': 667.57, 'no': 91.2, 'no2': 63.75, 'o3': 0.41000000000000003, 'so2': 226.97, 'pm2_5': 67.09, 'pm10': 71.59, 'nh3': 2.12}",1672632000
35,{'aqi': 5},"{'co': 727.65, 'no': 103.71, 'no2': 65.12, 'o3': 1.33, 'so2': 255.58, 'pm2_5': 75.11, 'pm10': 79.97, 'nh3': 2.31}",1672635600
36,{'aqi': 5},"{'co': 988.01, 'no': 148.42, 'no2': 80.88, 'o3': 1.88, 'so2': 370.03, 'pm2_5': 96.33, 'pm10': 102.41, 'nh3': 2.91}",1672639200
37,{'aqi': 5},"{'co': 1228.33, 'no': 164.51, 'no2': 113.79, 'o3': 3.26, 'so2': 694.27, 'pm2_5': 58.81, 'pm10': 67.89, 'nh3': 2.56}",1672642800
38,{'aqi': 5},"{'co': 988.01, 'no': 126.96, 'no2': 94.59, 'o3': 4.74, 'so2': 572.2, 'pm2_5': 41.63, 'pm10': 50.8, 'nh3': 1.92}",1672646400
39,{'aqi': 5},"{'co': 854.49, 'no': 106.39, 'no2': 85.68, 'o3': 4.83, 'so2': 503.54, 'pm2_5': 32.91, 'pm10': 41.02, 'nh3': 1.57}",1672650000
40,{'aqi': 5},"{'co': 827.79, 'no': 101.92, 'no2': 85, 'o3': 8.76, 'so2': 488.28, 'pm2_5': 29.9, 'pm10': 36.88, 'nh3': 1.46}",1672653600
41,{'aqi': 5},"{'co': 767.71, 'no': 84.94, 'no2': 89.11, 'o3': 2.68, 'so2': 442.5, 'pm2_5': 26.22, 'pm10': 32.5, 'nh3': 1.3900000000000001}",1672657200
42,{'aqi': 5},"{'co': 640.87, 'no': 61.69, 'no2': 78.14, 'o3': 0.09, 'so2': 358.58, 'pm2_5': 19.95, 'pm10': 25.53, 'nh3': 1.27}",1672660800
43,{'aqi': 4},"{'co': 620.84, 'no': 67.06, 'no2': 63.06, 'o3': 0, 'so2': 293.73, 'pm2_5': 30.24, 'pm10': 35.3, 'nh3': 1.52}",1672664400
44,{'aqi': 4},"{'co': 634.19, 'no': 78.68, 'no2': 58.26, 'o3': 0, 'so2': 251.77, 'pm2_5': 49.65, 'pm10': 55.2, 'nh3': 1.87}",1672668000
45,{'aqi': 4},"{'co': 587.46, 'no': 77.78, 'no2': 53.47, 'o3': 0, 'so2': 221.25, 'pm2_5': 57.93, 'pm10': 63.84, 'nh3': 1.9500000000000002}",1672671600
46,{'aqi': 4},"{'co': 487.33, 'no': 61.69, 'no2': 48.67, 'o3': 0, 'so2': 185.01, 'pm2_5': 51.84, 'pm10': 57.43, 'nh3': 1.74}",1672675200
47,{'aqi': 3},"{'co': 417.23, 'no': 48.28, 'no2': 46.61, 'o3': 0, 'so2': 146.87, 'pm2_5': 42.06, 'pm10': 46.74, 'nh3': 1.46}",1672678800
48,{'aqi': 3},"{'co': 387.19, 'no': 40.23, 'no2': 47.3, 'o3': 0.01, 'so2': 137.33, 'pm2_5': 31.99, 'pm10': 35.67, 'nh3': 1.25}",1672682400
49,{'aqi': 3},"{'co': 440.6, 'no': 40.23, 'no2': 61.01, 'o3': 0.02, 'so2': 230.79, 'pm2_5': 16.89, 'pm10': 19.7, 'nh3': 0.99}",1672686000
